        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
fiosExecucao =8 Intervalo=99
 tempo -> 157825 usecs
        0:0         TID   8 CPU   2(1) created
        0:1465571862339 TID   8 sleeping on 'cond var'
        0:0         TID   8 CPU   2(1) created
      159:1465571862499 TID   8 sleeping on 'cond var'
      159:1465571862499 TID   8 CPU   2(1) preempted
      159:1465571862499 TID   8 CPU   2(1) restarted on the same CPU
      159:1465571862499 TID   8 sleeping on 'cond var'
      159:1465571862499 TID   8 CPU   2(1) preempted
      159:1465571862499 TID   8 CPU   2(1) restarted on the same CPU
        0:0         TID   4 CPU   6(1) created
        0:1465571862339 TID   4 sleeping on 'cond var'
        0:0         TID   4 CPU   6(1) created
      159:1465571862499 TID   4 sleeping on 'cond var'
      159:1465571862499 TID   4 CPU   6(1) preempted
      159:1465571862499 TID   4 CPU   6(1) restarted on the same CPU
      159:1465571862499 TID   4 sleeping on 'cond var'
      159:1465571862499 TID   4 CPU   6(1) preempted
      159:1465571862499 TID   4 CPU   6(1) restarted on the same CPU
       49:0         TID   3 CPU   8(2) created
       49:1465571862389 TID   3 CPU   8(2) restarted on the same CPU
      159:1465571862499 TID   3 sleeping on 'cond var'
      159:1465571862499 TID   3 CPU   8(2) preempted
      159:1465571862499 TID   3 CPU   8(2) restarted on the same CPU
      159:1465571862499 TID   3 sleeping on 'cond var'
      159:1465571862499 TID   3 CPU   8(2) preempted
      159:1465571862499 TID   3 CPU   8(2) restarted on the same CPU
        0:0         TID   5 CPU  11(2) created
        0:1465571862339 TID   5 sleeping on 'cond var'
        0:0         TID   5 CPU  11(2) created
      159:1465571862499 TID   5 sleeping on 'cond var'
      159:1465571862499 TID   5 CPU  11(2) preempted
      159:1465571862499 TID   5 CPU  11(2) restarted on the same CPU
      159:1465571862499 TID   5 sleeping on 'cond var'
      159:1465571862499 TID   5 CPU  11(2) preempted
      159:1465571862499 TID   5 CPU  11(2) restarted on the same CPU
        0:0         TID   3 CPU  12(2) created
        0:1465571862339 TID   3 sleeping on 'cond var'
        0:0         TID   7 CPU  12(2) created
        0:1465571862339 TID   7 sleeping on 'cond var'
        0:0         TID   3 CPU  12(2) created
        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
        0:1465571862339 TID   1 sleeping on 'cond var'
        0:0         TID   1 CPU  13(2) created
      159:1465571862499 TID   1 sleeping on 'cond var'
      159:1465571862499 TID   1 CPU  13(2) preempted
       49:0         TID   7 CPU  15(2) created
       49:1465571862389 TID   7 CPU  15(2) restarted on the same CPU
      159:1465571862499 TID   7 sleeping on 'cond var'
      159:1465571862499 TID   7 CPU  15(2) preempted
      159:1465571862499 TID   7 CPU  15(2) restarted on the same CPU
      159:1465571862499 TID   7 sleeping on 'cond var'
      159:1465571862499 TID   7 CPU  15(2) preempted
      159:1465571862499 TID   7 CPU  15(2) restarted on the same CPU
        0:0         TID   6 CPU  20(1) created
        0:1465571862339 TID   6 sleeping on 'cond var'
        0:0         TID   6 CPU  20(1) created
      159:1465571862499 TID   6 sleeping on 'cond var'
      159:1465571862499 TID   6 CPU  20(1) preempted
      159:1465571862499 TID   6 CPU  20(1) restarted on the same CPU
      159:1465571862499 TID   6 sleeping on 'cond var'
      159:1465571862499 TID   6 CPU  20(1) preempted
      159:1465571862499 TID   6 CPU  20(1) restarted on the same CPU
      159:1465571862499 TID   6 sleeping on 'cond var'
      159:1465571862499 TID   6 CPU  20(1) preempted
      159:1465571862499 TID   6 CPU  20(1) restarted on the same CPU
        0:0         TID   7 CPU  28(2) created
      159:1465571862499 TID   1  from-CPU 13(2) to-cpu 30(2) CPU migration
      159:1465571862499 TID   1 CPU  30(2) restarted on the same CPU
      159:1465571862499 TID   1 sleeping on 'cond var'
      159:1465571862499 TID   1 CPU  30(2) preempted
      159:1465571862499 TID   1 CPU  30(2) restarted on the same CPU
      159:1465571862499 TID   1 sleeping on 'cond var'
      159:1465571862499 TID   1 CPU  30(2) preempted
      159:1465571862499 TID   1 CPU  30(2) restarted on the same CPU
      159:1465571862499 TID   1 sleeping on 'cond var'
      159:1465571862499 TID   1 CPU  30(2) preempted
      159:1465571862499 TID   1 CPU  30(2) restarted on the same CPU
      159:1465571862499 TID   1 sleeping on 'shuttle'
      159:1465571862499 TID   1 CPU  30(2) preempted
      159:1465571862499 TID   1 CPU  30(2) restarted on the same CPU
      159:1465571862499 TID   1 sleeping on 'shuttle'
      159:1465571862499 TID   1 CPU  30(2) preempted
      159:1465571862499 TID   1 CPU  30(2) restarted on the same CPU
      159:1465571862499 TID   1 sleeping on 'cond var'
      159:1465571862499 TID   1 CPU  30(2) preempted
      159:1465571862499 TID   1 CPU  30(2) restarted on the same CPU
      159:1465571862499 TID   1 sleeping on 'cond var'
      159:1465571862499 TID   1 CPU  30(2) preempted
      159:1465571862499 TID   1 CPU  30(2) restarted on the same CPU
      159:1465571862499 TID   1 sleeping on 'cond var'
