        0:0         TID   1 CPU   8(2) created
        0:0         TID   1 CPU   8(2) created
fiosExecucao =16 Intervalo=99
 tempo -> 45463.5 usecs
        0:0         TID   4 CPU   1(1) created
        0:1465575344100 TID   4 sleeping on 'cond var'
        0:0         TID   4 CPU   1(1) created
       49:1465575344149 TID   4 sleeping on 'cond var'
       49:1465575344149 TID   4 CPU   1(1) preempted
       49:1465575344149 TID   4 CPU   1(1) restarted on the same CPU
       49:1465575344149 TID   4 sleeping on 'cond var'
       49:1465575344149 TID   4 CPU   1(1) preempted
       49:1465575344149 TID   4 CPU   1(1) restarted on the same CPU
        0:0         TID  10 CPU   3(1) created
        0:1465575344100 TID  10 sleeping on 'cond var'
        0:0         TID  16 CPU   4(1) created
       49:1465575344149 TID  16 sleeping on 'cond var'
       49:1465575344149 TID  16 CPU   4(1) preempted
       49:1465575344149 TID  16 CPU   4(1) restarted on the same CPU
       49:1465575344149 TID  16 sleeping on 'cond var'
       49:1465575344149 TID  16 CPU   4(1) preempted
       49:1465575344149 TID  16 CPU   4(1) restarted on the same CPU
        0:0         TID  16 CPU   5(1) created
        0:1465575344100 TID  16 sleeping on 'cond var'
        0:0         TID  14 CPU   6(1) created
       49:1465575344149 TID  14 sleeping on 'cond var'
       49:1465575344149 TID  14 CPU   6(1) preempted
       49:1465575344149 TID  14 CPU   6(1) restarted on the same CPU
       49:1465575344149 TID  14 sleeping on 'cond var'
       49:1465575344149 TID  14 CPU   6(1) preempted
       49:1465575344149 TID  14 CPU   6(1) restarted on the same CPU
        0:0         TID   6 CPU   7(1) created
        0:1465575344100 TID   6 sleeping on 'cond var'
        0:0         TID   6 CPU   7(1) created
       49:1465575344149 TID   6 sleeping on 'cond var'
       49:1465575344149 TID   6 CPU   7(1) preempted
       49:1465575344149 TID   6 CPU   7(1) restarted on the same CPU
       49:1465575344149 TID   6 sleeping on 'cond var'
       49:1465575344149 TID   6 CPU   7(1) preempted
       49:1465575344149 TID   6 CPU   7(1) restarted on the same CPU
        0:0         TID   1 CPU   8(2) created
        0:0         TID   1 CPU   8(2) created
        0:0         TID   1 CPU   8(2) created
        0:0         TID   1 CPU   8(2) created
        0:1465575344100 TID   1 sleeping on 'cond var'
        0:0         TID  15 CPU   8(2) created
       39:1465575344139 TID  15 sleeping on 'cond var'
       39:1465575344139 TID  15 CPU   8(2) preempted
       49:1465575344149 TID  15 CPU   8(2) restarted on the same CPU
       49:1465575344149 TID  15 sleeping on 'cond var'
       49:1465575344149 TID  15 CPU   8(2) preempted
       49:1465575344149 TID  15 CPU   8(2) restarted on the same CPU
       49:1465575344149 TID   7  from-CPU 26(2) to-cpu 10(2) CPU migration
       49:1465575344149 TID   7 CPU  10(2) restarted on the same CPU
       39:0         TID  11 CPU  12(2) created
       39:1465575344139 TID  11 CPU  12(2) restarted on the same CPU
       49:1465575344149 TID  11 sleeping on 'cond var'
       49:1465575344149 TID  11 CPU  12(2) preempted
       49:1465575344149 TID  11 CPU  12(2) restarted on the same CPU
