        0:0         TID   1 CPU   6(1) created
        0:0         TID   1 CPU   6(1) created
fiosExecucao =8 Intervalo=99
 tempo -> 151037 usecs
      159:1465575404759 TID   4 sleeping on 'cond var'
      159:1465575404759 TID   4 CPU  30(2) preempted
      159:1465575404759 TID   4 CPU  30(2) restarted on the same CPU
        9:0         TID   2 CPU  24(2) created
        9:1465575404610 TID   2 CPU  24(2) restarted on the same CPU
        9:1465575404610 TID   2 sleeping on 'cond var'
        9:1465575404610 TID   2 CPU  24(2) preempted
        9:1465575404610 TID   2 CPU  24(2) restarted on the same CPU
      159:1465575404759 TID   2 sleeping on 'cond var'
      159:1465575404759 TID   2 CPU  24(2) preempted
      159:1465575404759 TID   2 CPU  24(2) restarted on the same CPU
      159:1465575404759 TID   2 sleeping on 'cond var'
      159:1465575404759 TID   2 CPU  24(2) preempted
      159:1465575404759 TID   2 CPU  24(2) restarted on the same CPU

